Title	Link
 Guaranteed safe online learning via reachability: tracking a ground target using a quadrotor	https://ieeexplore.ieee.org/document/6225136
Serious Games As A Teaching Strategy For Software Projects Risk Management Videogame Prototype	https://ieeexplore.ieee.org/document/7750804
 Safety analysis of Autonomous Ground Vehicle optical systems: Bayesian belief networks approach	https://ieeexplore.ieee.org/document/6644203
 STPA-based hazard analysis of a complex UAV system in take-off	https://ieeexplore.ieee.org/document/7232133
 The human should be part of the control loop?	https://ieeexplore.ieee.org/document/7573336
 Trust Bit: Reward-based intelligent vehicle commination using blockchain paper	https://ieeexplore.ieee.org/document/8355227
 Understanding error propagation in deep learning neural network (DNN) accelerators and applications. 	https://dl.acm.org/doi/10.1145/3126908.3126964
 Safety analysis of Autonomous Ground Vehicle optical systems: Bayesian belief networks approach	https://ieeexplore.ieee.org/document/6644203
 Work-in-progress: testing autonomous cyber-physical systems using fuzzing features from convolutional neural networks	https://ieeexplore.ieee.org/document/8094374
DeepTest: Automated testing of deep-neural-network-driven autonomous cars	https://dl.acm.org/doi/10.1145/3180155.3180220
Exploring Strategies for Training Deep Neural Networks	https://dl.acm.org/doi/10.5555/1577069.1577070
Game Theoretic Modeling of Driver and Vehicle Interactions for Verification and Validation of Autonomous Vehicle Control Systems	https://ieeexplore.ieee.org/document/7993050
Measurement of autonomous operation	https://dl.acm.org/doi/10.1145/2377576.2377598
Output Reachable Set Estimation and Verification for Multilayer Neural Networks	https://ieeexplore.ieee.org/document/8318388
Predictive threat assessment via reachability analysis and set invariance theory	https://ieeexplore.ieee.org/document/5963718
 DeepGauge: multi-granularity testing criteria for deep learning systems	https://dl.acm.org/doi/10.1145/3238147.3238202
DeepRoad: GAN-based metamorphic testing and input validation framework for autonomous driving systems.	https://dl.acm.org/doi/10.1145/3238147.3238187
DLFuzz: differential fuzzing testing of deep learning systems	https://dl.acm.org/doi/10.1145/3236024.3264835
Game theoretic modeling of driver and vehicle interactions for verification and validation of autonomous vehicle control systems	https://ieeexplore.ieee.org/document/7993050
Keeping intelligence under control. 	https://dl.acm.org/doi/10.1145/3195555.3195558
LEMNA: Explaining Deep Learning based Security Applications	https://dl.acm.org/doi/10.1145/3243734.3243792
MTL Robustness for Path Planning with A* for Autonomous Agents and Multiagent Systems	https://dl.acm.org/doi/10.5555/3237383.3237425
 Tactical safety reasoning. A case for autonomous vehicles	https://ieeexplore.ieee.org/document/8417887
Outline safety case for the use of autonomous UAVs in unsegregated airspace	https://ieeexplore.ieee.org/document/1574597
 Adaptive verification for an on-line learning neural-based flight control system	https://ieeexplore.ieee.org/document/1563392
 Toward guaranteed illumination models for non-convex objects	https://ieeexplore.ieee.org/document/6751226
 AxNN: energy-efficient neuromorphic systems using approximate computing	https://dl.acm.org/doi/10.1145/2627369.2627613
 ApproxANN: an approximate computing framework for artificial neural network	https://dl.acm.org/doi/10.5555/2755753.2755913
Towards Gamification In Software Traceability: Between Test And Code Artifacts	https://ieeexplore.ieee.org/document/7521154
 Policy compression for aircraft collision avoidance systems	https://ieeexplore.ieee.org/document/7778091
 Understanding error propagation in GPGPU applications	https://dl.acm.org/doi/10.5555/3014904.3014932
 Why should i trust you?: Explaining the predictions of any classifier	https://dl.acm.org/doi/10.1145/2939672.2939778
Controlling explanatory heatmap resolution and semantics via decomposition depth	https://ieeexplore.ieee.org/document/7532763
Design Of Fault Tolerant System Based On Runtime Behavior Tracing	https://ieeexplore.ieee.org/document/5440261
Defining Usability Quality Metric For Mobile Game Prototype Using Software Attributes	https://ieeexplore.ieee.org/document/7339161
Improving Software Projects Inception Phase Using Games Activeaction Workshop	https://ieeexplore.ieee.org/document/7077133
Runesinger	https://ieeexplore.ieee.org/document/5293578
Dr Math Gets Muddy: The �Dirt� On How To Attract Teenagers To Mathematics And Science By Using Multi-User Dungeon Games Over Mxit On Cell Phones	https://ieeexplore.ieee.org/document/5753031
Teaching Vs. 3D Gaming In Secondary School	https://ieeexplore.ieee.org/document/5967264
From Ingenias To An Interactive Storyboard Using Alice 3D At Prototype Level	https://ieeexplore.ieee.org/document/5974266
Agent-Oriented Software Engineering For Graphic Adventure Modeling	https://ieeexplore.ieee.org/document/5974271
Measuring The Reverse Salience Of Cpu Utilization In Video Game Consoles: The Performance Gap Ratio As A Forecasting Tool	https://ieeexplore.ieee.org/document/6017656
Towards Gamification In Software Traceability: Between Test And Code Artifacts	https://ieeexplore.ieee.org/document/7521154
Design Of Fault Tolerant System Based On Runtime Behavior Tracing	https://ieeexplore.ieee.org/document/5440261
Improving Software Projects Inception Phase Using Games Activeaction Workshop	https://ieeexplore.ieee.org/document/7077133
Dr Math Gets Muddy: The �Dirt� On How To Attract Teenagers To Mathematics And Science By Using Multi-User Dungeon Games Over Mxit On Cell Phones	https://ieeexplore.ieee.org/document/5753031
Teaching Vs. 3D Gaming In Secondary School	https://ieeexplore.ieee.org/document/5967264
From Ingenias To An Interactive Storyboard Using Alice 3D At Prototype Level	https://ieeexplore.ieee.org/document/5974266
Agent-Oriented Software Engineering For Graphic Adventure Modeling	https://ieeexplore.ieee.org/document/5974271
Measuring The Reverse Salience Of Cpu Utilization In Video Game Consoles: The Performance Gap Ratio As A Forecasting Tool	https://ieeexplore.ieee.org/document/6017656
Integration Of Mobile Game Development Into Introductory Cs Courses: Lessons Learned	https://ieeexplore.ieee.org/document/6329832
Preservation Of Gobak Sodor Traditional Games Using Augmented Reality Computer Game Simulation	https://ieeexplore.ieee.org/document/6574579
Codemetropolis - Code Visualisation In Minecraft	https://ieeexplore.ieee.org/document/6648194
Developing An Emulation Model Towards The Preservation Of Modern Computing Systems	https://ieeexplore.ieee.org/document/7370996
Pushing Without Breaking: Nudging Exergame Players While Maintaining Immersion	https://ieeexplore.ieee.org/document/7377222
Cultiventura Software Architecture Tool Supporting The Learning Of The Moche Culture	https://ieeexplore.ieee.org/document/7815575
Playing Computer Games For Isolated Breathing Therapy	https://ieeexplore.ieee.org/document/7843438
Communication Model Of Open Government Data Gamification Based On Ukrainian Websites	https://ieeexplore.ieee.org/document/7984367
Interactive Serious Games As Electronic Engineering Capstone Projects	https://ieeexplore.ieee.org/document/8363274
Teaching Software Engineering Through Computer Games	https://ieeexplore.ieee.org/document/8450996
A Programming Course Using Video Game Design With Platform Projects	https://ieeexplore.ieee.org/document/8500103
Statistical Planning: Building Models Of Entropy Of Centralized Planning For Multi-Agent Systems	https://ieeexplore.ieee.org/document/8635833
Dicos: Discovering Insecure Code Snippets from Stack Overflow Posts by Leveraging User Discussions	https://dl.acm.org/doi/10.1145/3485832.3488026
CCGraph: A PDG-Based Code Clone Detector with Approximate Graph Matching	https://ieeexplore.ieee.org/document/9286111
Detecting Code Comment Inconsistency Using Siamese Recurrent Network	https://dl.acm.org/doi/10.1145/3387904.3389286
A Large-Scale Empirical Study on Vulnerability Distribution within Projects and the Lessons Learned	https://dl.acm.org/doi/10.1145/3377811.3380923
Impact of Similarity on Repairing Small Programs: A Case Study on QuixBugs Benchmark	https://dl.acm.org/doi/10.1145/3387940.3392182
Did You Remember To Test Your Tokens?	https://dl.acm.org/doi/10.1145/3379597.3387471
What Are the Practices Used by Software Practitioners on Technical Debt Payment: Results from an International Family of Surveys	https://dl.acm.org/doi/10.1145/3387906.3388632
A Unified Framework to Learn Program Semantics with Graph Neural Networks	https://dl.acm.org/doi/10.1145/3324884.3418924
CLIONE: Clone Modification Support for Pull Request Based Development	https://ieeexplore.ieee.org/document/9359312
Sia-RAE: A Siamese Network based on Recursive AutoEncoder for Effective Clone Detection	https://ieeexplore.ieee.org/document/9359270
Enhancing DataRaceBench for Evaluating Data Race Detection Tools	https://ieeexplore.ieee.org/document/9296942
CoinWatch: A Clone-Based Approach For Detecting Vulnerabilities in Cryptocurrencies	https://ieeexplore.ieee.org/document/9284650
Semantic Code Clone Detection Via Event Embedding Tree and GAT Network	https://ieeexplore.ieee.org/document/9282778
Plagiarism detection based on blinded logical test automation results and detection of textual similarity between source codes	https://ieeexplore.ieee.org/document/9274098
Evaluating Code Readability and Legibility: An Examination of Human-centric Studies	https://ieeexplore.ieee.org/document/9240710
VGRAPH: A Robust Vulnerable Code Clone Detection System Using Code Property Triplets	https://ieeexplore.ieee.org/document/9230372
Trends in Software Engineering Processes using Deep Learning: A Systematic Literature Review	https://ieeexplore.ieee.org/document/9226311
Code Inspection Support for Recurring Changes with Deep Learning in Evolving Software	https://ieeexplore.ieee.org/document/9202813
Research on Security Detection Technology for Internet of Things Terminal Based on Firmware Code Genes	https://ieeexplore.ieee.org/document/9169679
Enhancing Notation-Based Code Cloning Method With an External-Based Identifier Model	https://ieeexplore.ieee.org/document/9169649
A Novel Code Stylometry-based Code Clone Detection Strategy	https://ieeexplore.ieee.org/document/9148302
An Automatic Advisor for Refactoring Software Clones Based on Machine Learning	https://ieeexplore.ieee.org/document/9130671
Improving Maintenance-Consistency Prediction During Code Clone Creation	https://ieeexplore.ieee.org/document/9079507
LibDX: A Cross-Platform and Accurate System to Detect Third-Party Libraries in Binary Code	https://ieeexplore.ieee.org/document/9054845
Revisiting the Challenges and Opportunities in Software Plagiarism Detection	https://ieeexplore.ieee.org/document/9054847
SAGA: Efficient and Large-Scale Detection of Near-Miss Clones with GPU Acceleration	https://ieeexplore.ieee.org/document/9054832
SemanticCloneBench: A Semantic Code Clone Benchmark using Crowd-Source Knowledge	https://ieeexplore.ieee.org/document/9047643
CPPCD: A Token-Based Approach to Detecting Potential Clones	https://ieeexplore.ieee.org/document/9047636
Twin-Finder: Integrated Reasoning Engine for Pointer-Related Code Clone Detection	https://ieeexplore.ieee.org/document/9047638
Clone Detection on Large Scala Codebases	https://ieeexplore.ieee.org/document/9047640
Detection of Fake IoT App Based on Multidimensional Similarity	https://ieeexplore.ieee.org/document/9040590
LVMapper: A Large-Variance Clone Detector Using Sequencing Alignment Approach	https://ieeexplore.ieee.org/document/8981907
M3: Semantic API Migrations	https://dl.acm.org/doi/10.1145/3324884.3416618
SCDetector: Software Functional Clone Detection Based on Semantic Tokens Analysis	https://dl.acm.org/doi/10.1145/3324884.3416562
When Deep Learning Meets Smart Contracts	https://dl.acm.org/doi/10.1145/3324884.3418918
Better Code, Better Sharing: On the Need of Analyzing Jupyter Notebooks	https://dl.acm.org/doi/10.1145/3377816.3381724
SLEMI: Equivalence Modulo Input (EMI) Based Mutation of CPS Models for Finding Compiler Bugs in Simulink	https://dl.acm.org/doi/10.1145/3377811.3380381
When APIs are Intentionally Bypassed: An Exploratory Study of API Workarounds	https://dl.acm.org/doi/10.1145/3377811.3380433
Revealing Injection Vulnerabilities by Leveraging Existing Tests	https://ieeexplore.ieee.org/document/9284056
An Empirical Assessment of Security Risks of Global Android Banking Apps	https://ieeexplore.ieee.org/document/9283969
Typestate-Guided Fuzzer for Discovering Use-after-Free Vulnerabilities	https://ieeexplore.ieee.org/document/9283945
Accessibility Issues in Android Apps: State of Affairs, Sentiments, and Ways Forward	https://ieeexplore.ieee.org/document/9284030
An Empirical Study on Self-Fixed Technical Debt	https://ieeexplore.ieee.org/document/10206778
Using a Context-Aware Approach to Recommend Code Reviewers: Findings from an Industrial Case Study	https://ieeexplore.ieee.org/document/9276554
Characterizing and Identifying Composite Refactorings: Concepts, Heuristics and Patterns	https://ieeexplore.ieee.org/document/10148766
Generating Use Case Scenarios from User Stories	https://ieeexplore.ieee.org/document/10186482
How Do Students Experience and Judge Software Comprehension Techniques?	https://ieeexplore.ieee.org/document/10186829
Improving Code Search with Co-Attentive Representation Learning	https://ieeexplore.ieee.org/document/10186858
A Qualitative Analysis of Android Taint-Analysis Results	https://ieeexplore.ieee.org/document/8952502
A Study of Oracle Approximations in Testing Deep Learning Libraries	https://ieeexplore.ieee.org/document/8952211
Generative Adversarial Network for Improving Deep Learning Based Malware Classification	https://ieeexplore.ieee.org/document/9004932
Regexes Are Hard: Decision-Making, Difficulties, and Risks in Programming Regular Expressions	https://ieeexplore.ieee.org/document/8952499
Textlets: Supporting Constraints and Consistency in Text Documents	https://dl.acm.org/doi/10.1145/3313831.3376804
Typilus: Neural Type Hints	https://dl.acm.org/doi/10.1145/3385412.3385997
Understanding Memory and Thread Safety Practices and Issues in Real-World Rust Programs	https://dl.acm.org/doi/10.1145/3385412.3386036
Variational Correctness-by-Construction	https://dl.acm.org/doi/10.1145/3377024.3377038
