link	meta_title	source	doi	title
https://www.scopus.com/inward/record.url?eid=2-s2.0-77954828867&partnerID=40&md5=c579303b1e83f65715b18ee070003e5e	fastgroupdecodable spacetime block code			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84881603876&partnerID=40&md5=e7573215e325e7749777eb87efee3fa2	feature interactions in objectoriented effect systems from a viewpoint of program comprehension ((w) workinprogress paper)			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85071098676&partnerID=40&md5=acae2e8aff13d7011fdfad131971be92	finding key classes in objectoriented software systems by techniques based on static analysis			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85129612649&partnerID=40&md5=bcc3881420d7ff6e72174151f2d7f649	firstclass concepts reified architectural knowledge beyond dominant decompositions			
https://www.scopus.com/inward/record.url?eid=2-s2.0-12444332075&partnerID=40&md5=f918013499e7b064fd1a0d06813f4e18	fullrate fulldiversity spacefrequency codes with optimum coding advantage			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84893503274&partnerID=40&md5=784aa754dee9da3fd43e492836eb2636	have we already totally understood program comprehension | haben wir programmverstehen schon ganz verstanden			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84893326388&partnerID=40&md5=99d479703a37ab95d8f8d8a721fb8551	help, help, im being suppressed the significance of suppressors in software testing			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85056829823&partnerID=40&md5=dec4efe981c02efc16aab3291b7a8d9b	helpful or not an investigation on the feasibility of identifier splitting via cnnbilstmcrf			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84962332111&partnerID=40&md5=4e918d22a85e12e4a145ce33c85df282	heuristicbased partofspeech tagging of source code identifiers and comments			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85111034999&partnerID=40&md5=21a10b5f666b46017aaa459ccc2cca45	how to identify class comment types a multilanguage approach for class comment classification			
https://www.scopus.com/inward/record.url?eid=2-s2.0-18444394615&partnerID=40&md5=ecbe2260add893eedcfb5794c8f48c64	how to make fillinblank program problems and its evaluation			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85112371519&partnerID=40&md5=761afe5cdf87bd770e46e61b60f75646	imagebased manylanguage programming language identification			
https://www.scopus.com/inward/record.url?eid=2-s2.0-12244291965&partnerID=40&md5=10e3ea808d030466870eb639781b53d4	iterative decoding of bandwidthefficient signalcode structures based on turbo codes			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85091298393&partnerID=40&md5=a8f6836ada9ff822503036a675bfcf45	keywordbased source code summarization | 基于关键词的代码自动摘要			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0024884275&partnerID=40&md5=b8e058c0a15bbe18162812a7a871ed4a	knowledgebased approach to the analysis of code and program design language (pdl)			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85059460418&partnerID=40&md5=df74bfe39cd5c0d6338d5ba8c2daba63	live programming in practice a controlled experiment on state machines for robotic behaviors			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0029345859&partnerID=40&md5=778cb01498fb5abd598a9ce89fd197fb	managing design tradeoffs for a program understanding and transformation tool			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84870406815&partnerID=40&md5=aea8d9611a1b8193fb4c84d9c481632c	modelviewcontroller architecture in a systems analysis and design course			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0035410691&partnerID=40&md5=7b6f32c1c3c300e98b92501e763d2872	multiprocessor realtime operating system based on petri net model			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0023853392&partnerID=40&md5=88795c53342308edcf2f2f5cf57c4508	on the simulation of flexible manufacturing systems | zur simulation flexibler fertigungssysteme			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84958982140&partnerID=40&md5=e44614d28c96f5397208563d91bff7a9	outofcore functional programming with typebased primitives			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85137566753&partnerID=40&md5=12fbff4d0986c5c2695b2551edda6d73	paddlespeech an easytouse allinone speech toolkit			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85083054510&partnerID=40&md5=f1c504c711a05d8eef1aad0339d6aecc	paradigm shift in program structure of particleincell simulations			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84886050513&partnerID=40&md5=81b13fd7d58995daa9af6e3f2592f4df	partofspeech tagging of program identifiers for improved textbased software engineering tools			
